nome_fantasia;cnae_principal;municipio-id;estado-sigla;bairro
CAROLINA - VIAGENS E TURISMO EXECUTIVO;5229099;4302105;RS;PROGRESSO
TRANSPORTE SANTO ANTONIO;4921301;4302105;RS;SAO BENTO
S C LIMPEZA;9700500;4302105;RS;SAO ROQUE
PROGRESSO FUTSAL;8599699;4302105;RS;LICORSUL
BENTO 3D;2229399;4302105;RS;SAO BENTO
GM MONTAGEM DE MOVEIS;3329501;4302105;RS;SAO VALENTIN
RESIDENCIAL ASPEN;8112500;4302105;RS;SAO FRANCISCO
DOG DO TCHE;5611203;4302105;RS;SANTO ANTAO
SPADINI ENGENHARIA;7112000;4302105;RS;HUMAITA
CANTINHO DO SABOR;5611201;4302105;RS;CIDADE ALTA
LM INSTALACOES HIDRAULICAS;4322301;4302105;RS;SALGADO
CONECTA SJ LIMPEZA E HIGIENIZACAO;9609299;4302105;RS;APARECIDA
KASLY REIS ZARDO;9602501;4302105;RS;VINOSUL
FELIPE RANCING E PREPARACOES;4543900;4302105;RS;SAO JOAO
EZE SALINI;9602501;4302105;RS;HUMAITA
JAIRA HIGIENIZACAO;8121400;4302105;RS;FATIMA
LUCIRA DA SILVA FIUZA;4772500;4302105;RS;CAMINHO DA EULALIA
EDIFICIO RESIDENCIAL DONATELLO;8112500;4302105;RS;HUMAITA
BASSO CONFECCOES;4781400;4302105;RS;PROGRESSO
CENTRO DE LAVAGEM SAO VALENTIN;4520005;4302105;RS;SAO VALENTIN
CONDOMINIO RESIDENCAL SHALOM;8112500;4302105;RS;SAO JOAO
EDIFICIO RESIDENCIAL MICHELANGELO;8112500;4302105;RS;CENTRO
ANGELITA LOPES MORAIS;4399103;4302105;RS;JARDIM GLORIA
DG CONTRUCOES;4399103;4302105;RS;MUNICIPAL
VICTORIA LOVATO;9602502;4302105;RS;CENTRO
HELENINHA;8712300;4302105;RS;JUVENTUDE DA ENOLOGIA
MR MODA INTIMA;4781400;4302105;RS;UNIVERSITARIO
MEU SUCESSO DIGITAL;7420004;4302105;RS;CENTRO
NOLASCO TATTOO;9609206;4302105;RS;SAO FRANCISCO
SUZI BABY;9700500;4302105;RS;SAO ROQUE
MARINI COLCHOES;4754702;4302105;RS;SANTA HELENA
SPADER E FREITAS ALIMENTOS;1091101;4302105;RS;CONCEICAO
CANTO DAS GURIAS;9602502;4302105;RS;CENTRO
EV TRANSPORTES;4924800;4302105;RS;SAO ROQUE
SENA CONSTRUCOES;4399103;4302105;RS;BORGO
BG ATACADO E VAREJO;4721104;4302105;RS;SANTO ANTAO
BAR DA SIMONE;5611204;4302105;RS;EUCALIPTOS
FAMILIA ZACCARON;1094500;4302105;RS;VALE DOS VINHEDOS
MECCA TRANSPORTES E REPRESENTACOES;4930201;4302105;RS;VILA NOVA II
BRASILSUL EMPREENDIMENTOS CORPORATIVOS;7319002;4302105;RS;CIDADE ALTA
Casio Zorzin;4330405;4302105;RS;SANTA HELENA
DFM MONTAGENS;2539001;4302105;RS;CONCEICAO
LANCHERIA 470;5611203;4302105;RS;JARDIM GLORIA
FUNDO DE DESENVOLVIMENTO ECONOMICO;8411600;4302105;RS;CENTRO
